# 道具・家具・楽器・服・日用品（object）。薄い物（紙・カード・定規）は入れない。列: ja	reading	en	aliases	level	seed	hint（ジャンル。10 秒のヒント）	english（英語の答え。必須。en は裏プロンプトで答えには使わない）
# メトロノーム	めとろのーむ	metronome		2		楽器	metronome	# 2026-09-21 誰でも知っているものだけにする（本人）
# ジュークボックス	じゅーくぼっくす	jukebox		2	# 落とした: 語が長すぎて打ちにくい
# レコードプレーヤー	れこーどぷれーやー	turntable	レコード,recordplayer	2	# 落とした: 語が長すぎて打ちにくい
ラジカセ	らじかせ	boombox	カセット,ラジオ	2		通信・音楽の機械	boombox,radio cassette
# シンバル	しんばる	cymbal	cymbals	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# カスタネット	かすたねっと	castanets		3	# 落とした: 細かすぎて 60³ では見分けがつかない
ゴルフバッグ	ごるふばっぐ	golf bag	ゴルフクラブ,キャディバッグ	3		持ち歩くもの	golf bag,golf clubs,golfbag
# ゴルフボール	ごるふぼーる	golf ball	golfball	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 電子ピアノ	でんしぴあの	digital piano	キーボード,電子キーボード,keyboard	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# ハンドベル	はんどべる	handbell		3	# 落とした: 細かすぎて 60³ では見分けがつかない
拡声器	かくせいき	megaphone	メガホン,メガフォン,スピーカー	2		通信・音楽の機械	megaphone,bullhorn
# 懐中時計	かいちゅうどけい	pocket watch	pocketwatch	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 万華鏡	まんげきょう	kaleidoscope		3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 虫眼鏡	むしめがね	magnifying glass		2	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
# そろばん	そろばん	abacus	算盤	3	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
# --- 2026-09-21 追加（1,000 語へ。体積があり輪郭で分かる物に寄せた）
肘掛け椅子	ひじかけいす	armchair	アームチェア	2		家具	armchair,arm chair
# オフィスチェア	おふぃすちぇあ	office chair	desk chair,ゲーミングチェア	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
ビーズクッション	びーずくっしょん	bean bag chair	ビーズソファ,人をダメにするソファ,クッション	3		家具	bean bag,bean bag chair,beanbag
# ハンモックチェア	はんもっくちぇあ	hanging egg chair	ハンモック,吊り椅子,椅子,いす	3		家具	hanging chair,egg chair,hammock chair	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
テーブル	てーぶる	round wooden table	丸テーブル,食卓,机,つくえ,ツクエ,デスク,学習机,勉強机,しょくたく,教卓	1		家具	table,desk
ちゃぶ台	ちゃぶだい	chabudai low table	低いテーブル,座卓,ざたく	2		家具	chabudai,low table
本	ほん	thick hardcover book	ブック,辞書,じしょ,図鑑,ずかん,ノート	1		文房具	thick hardcover book,book,books,hardcover
# 本の山	ほんのやま	stack of books	積んだ本	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ノート	のーと	spiral notebook	notebook	2	# 落とした: 生成テスト 60³(2026-09-21): 0 個
ランドリーバスケット	らんどりーばすけっと	laundry basket	洗濯かご,せんたくかご,かご,カゴ,籠	3		入れ物	laundry basket,basket
# かご	かご	wicker basket	basket,バスケット,籠	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# ピクニックバスケット	ぴくにっくばすけっと	picnic basket		3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ゆりかご	ゆりかご	baby cradle	cradle	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 枕	まくら	pillow	まくら,マクラ	1	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
クッション	くっしょん	square cushion	座布団,ざぶとん,枕,まくら	2		家具	square cushion,cushion,pillow
# 毛布	もうふ	folded blanket	blanket	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# 本棚	ほんだな	bookcase with books	bookcase,bookshelf,本箱,ほんばこ	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が壁
金庫	きんこ	steel safe box	セーフ,セイフ	2		入れ物	safe,strongbox
# 食器棚	しょっきだな	kitchen cabinet	cabinet,cupboard,戸棚	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# 洗面台	せんめんだい	bathroom sink	sink,流し	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# 浴槽	よくそう	bathtub	bath,お風呂,風呂,ふろ,バスタブ	1	# 落とした: 生成テスト 60³(2026-09-21): 絵が部屋
便器	べんき	toilet bowl	トイレ,便座,といれ,べんざ,洋式トイレ	1		洗面所・お風呂のもの	toilet,toilet bowl
# シャワー	しゃわー	shower head	shower	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
蛇口	じゃぐち	water faucet	水道,すいどう,水道の蛇口	2		洗面所・お風呂のもの	water faucet,faucet,tap
ドア	どあ	wooden door	扉,とびら,戸,と,玄関	1		家具	wooden door,door
# 窓	まど	window frame	window,ウィンドウ	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が壁
# 階段	かいだん	wooden staircase	staircase,stairs,ステップ	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# はしご車	はしごしゃ	step ladder	stepladder,脚立,きゃたつ	2		工具		# まとめた: はしご と同じ物（spec 12 の 2-5）
# 柵	さく	wooden fence	fence,フェンス,塀	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が壁
# 門扉	もんぴ	iron gate		3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# 看板	かんばん	wooden signboard	sign,signboard,立て看板	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が壁
# 道路標識	どうろひょうしき	stop sign	road sign,traffic sign,標識,一時停止	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
コーン	こーん	traffic cone	三角コーン,パイロン,カラーコーン	1		街の機械	traffic cone,cone,pylon
# 消火栓	しょうかせん	red fire hydrant	fire hydrant,hydrant	1	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
# マンホール	まんほーる	manhole cover	manhole	3	# 落とした: 生成テスト 60³(2026-09-21): 0 個
# タイヤの山	たいやのやま	stack of tires		3		箱・入れ物		# まとめた: タイヤ と同じ物（spec 12 の 2-5）
# バリケード	ばりけーど	barricade	road barrier	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
炊飯器	すいはんき	rice cooker	ジャー	2		キッチン家電	rice cooker,ricecooker
ミキサー	みきさー	blender	ジューサー,ブレンダー	2		キッチン家電	blender,mixer,juicer
コーヒーメーカー	こーひーめーかー	coffee maker	コーヒーマシン	2		お茶・コーヒーの道具	coffee maker,coffee machine,coffeemaker
# エスプレッソマシン	えすぷれっそましん	espresso machine		3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 食洗機	しょくせんき	dishwasher	食器洗い機	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が内部
# オーブン	おーぶん	kitchen oven	oven	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が壁
# 電気ポット	でんきぽっと	electric kettle	ポット,electric pot	2		台所の道具		# まとめた: ケトル と同じ物（spec 12 の 2-5）
魔法瓶	まほうびん	thermos flask	サーモス,すいとう,水筒	2		お茶・コーヒーの道具	thermos flask,thermos,flask,vacuum flask
土鍋	どなべ	donabe clay pot		3		調理器具	donabe,clay pot
# 中華鍋	ちゅうかなべ	wok		2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
圧力鍋	あつりょくなべ	pressure cooker		3		調理器具	pressure cooker
# まな板	まないた	cutting board	chopping board	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が壁
包丁	ほうちょう	kitchen knife	ナイフ,刃物	2		調理器具	kitchen knife,knife
すり鉢	すりばち	mortar and pestle	乳鉢,にゅうばち	3		調理器具	mortar and pestle,mortar,pestle
# どんぶり	どんぶり	donburi bowl	bowl,丼,ボウル	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
皿	さら	ceramic plate	お皿,おさら,プレート,食器	1		テーブルに並ぶもの	plate,dish
湯呑み	ゆのみ	yunomi teacup	湯のみ,湯飲み	2		テーブルに並ぶもの	yunomi teacup,yunomi,teacup
急須	きゅうす	kyusu teapot	ティーポット	2		お茶・コーヒーの道具	kyusu teapot,kyusu
とっくり	とっくり	tokkuri sake bottle	徳利,トックリ,日本酒	2		テーブルに並ぶもの	tokkuri,sake bottle
おちょこ	おちょこ	ochoko sake cup	お猪口,オチョコ,ぐい呑み,盃,さかずき	3		テーブルに並ぶもの	ochoko,sake cup
スプーン	すぷーん	spoon		2		テーブルに並ぶもの	spoon
# フォーク	ふぉーく	fork		2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# 水筒	すいとう	water bottle	bottle,thermos	2	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
# ワイングラス	わいんぐらす	wine glass	wineglass	2	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
# ティーカップ	てぃーかっぷ	teacup with saucer	teacup,tea cup	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
ケトル	けとる	whistling kettle	やかん,ヤカン,薬缶,電気ケトル,電気ポット,でんきぽっと	2		お茶・コーヒーの道具	whistling kettle,kettle,tea kettle,electric kettle,electric pot
シャンプー	しゃんぷー	shampoo bottle	リンス,ボディソープ	2		洗面所・お風呂のもの	shampoo,shampoo bottle
# 歯ブラシ	はぶらし	toothbrush		2	# 落とした: 生成テスト 60³(2026-09-21): 0 個
歯磨き粉	はみがきこ	toothpaste tube	歯磨き,はみがき	2		洗面所・お風呂のもの	toothpaste tube,toothpaste
# 石鹸	せっけん	bar of soap	soap,ソープ	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が壁
# タオル	たおる	folded towel	towel	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が布
洗面器	せんめんき	wash basin	桶,おけ,たらい,風呂桶	3		洗面所・お風呂のもの	wash basin,basin
# バスタブ玩具	ばすたぶがんぐ	rubber duck	アヒルのおもちゃ,ゴムのアヒル,アヒル,あひる,お風呂のアヒル,ラバーダック	1		おもちゃ	rubber duck,duck toy	# 2026-09-21 甘さの見直し: 「アヒル」に統合（spec 12 の 2-5）
# ハンガー	はんがー	clothes hanger	hanger	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# ベビーカー玩具	べびーかーがんぐ	toy pram	pram	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
ぬいぐるみ	ぬいぐるみ	stuffed animal plush toy	うさぎのぬいぐるみ,ウサギのぬいぐるみ,ヌイグルミ	2		おもちゃ	stuffed animal,plush,plush toy,plushie,stuffed toy,bunny plush,stuffed rabbit
# うさぎのぬいぐるみ	うさぎのぬいぐるみ	plush bunny	bunny plush,stuffed rabbit	2		おもちゃ		# まとめた: ぬいぐるみ と同じ物（spec 12 の 2-5）
# レゴ	れご	LEGO brick	lego,レゴブロック	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# ロボット玩具	ろぼっとがんぐ	toy robot	robot toy,おもちゃのロボット	2		おもちゃ		# まとめた: ロボット と同じ物（spec 12 の 2-5）
# ミニカー	みにかー	toy car	die-cast car	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# プラレール	ぷられーる	toy train	train toy,おもちゃの電車	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ボードゲーム	ぼーどげーむ	board game box	board game	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# トランプ	とらんぷ	deck of playing cards	playing cards,cards,カード	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# パズル	ぱずる	jigsaw puzzle	puzzle,ジグソーパズル	2	# 落とした: 生成テスト 60³(2026-09-21): 0 個
# ボウリング	ぼうりんぐ	bowling ball and pins	bowling,ボウリングのピン,bowling pin	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
ゴルフボール	ごるふぼーる	golf ball		2		スポーツ用品	golf ball
# ゴルフクラブ	ごるふくらぶ	golf club	golf,ゴルフ	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# バドミントン	ばどみんとん	shuttlecock	badminton,シャトル	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
卓球ラケット	たっきゅうらけっと	ping pong paddle	ラケット	2		スポーツ用品	ping pong paddle,paddle,racket,table tennis paddle
# 野球のグローブ	やきゅうのぐろーぶ	baseball glove	mitt,ミット	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# ホッケースティック	ほっけーすてぃっく	hockey stick	hockey	3	# 落とした: 生成テスト 60³(2026-09-21): 細い
# スキー板	すきーいた	pair of skis	skis,ski,スキー	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# スノーボード	すのーぼーど	snowboard		2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
スケート靴	すけーとぐつ	ice skates	アイススケート	2		はきもの	ice skates
ダーツ	だーつ	dartboard	ダーツボード,的,まと	2		スポーツ用品	dartboard,darts
# ビリヤード	びりやーど	billiard balls	billiards,pool balls,玉突き	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 将棋	しょうぎ	shogi board	shogi,将棋盤	2	# 落とした: 生成テスト 60³(2026-09-21): 0 個
# 囲碁	いご	go board	go,碁盤,碁	2	# 落とした: 生成テスト 60³(2026-09-21): 0 個
# チェス盤	ちぇすばん	chess board	chess,チェス	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
メダル	めだる	gold medal	金メダル,きんめだる	2		身につけるもの	gold medal,medal
# 宝石箱	ほうせきばこ	jewelry box	jewellery box	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# ネックレス	ねっくれす	pearl necklace	necklace	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# 腕時計	うでどけい	wristwatch	watch,ウォッチ	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
懐中時計	かいちゅうどけい	pocket watch		3		時間をはかるもの	pocket watch,watch
# サングラス	さんぐらす	sunglasses		2	# 落とした: 生成テスト 60³(2026-09-21): 細い
シルクハット	しるくはっと	top hat	トップハット	2		頭にかぶるもの	top hat,tophat
魔女の帽子	まじょのぼうし	witch hat	とんがり帽子,とんがりぼうし,魔法使いの帽子	2		頭にかぶるもの	witch hat,witches hat,witch's hat
カウボーイハット	かうぼーいはっと	cowboy hat	テンガロンハット	2		頭にかぶるもの	cowboy hat
# ニット帽	にっとぼう	knit beanie hat	beanie,knit cap,毛糸の帽子	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が人
サンタ帽	さんたぼう	santa hat	クリスマス帽,サンタの帽子	2		頭にかぶるもの	santa hat
# ネクタイ	ねくたい	necktie	tie	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# リボン	りぼん	ribbon bow	蝶結び	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# マフラー	まふらー	winter scarf	scarf,スカーフ	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
ミトン	みとん	mitten	ミトン手袋,てぶくろ,手袋	2		身につけるもの	mitten,mittens
スニーカー	すにーかー	sneaker	運動靴,スポーツシューズ,うんどうぐつ	2		はきもの	sneaker,sneakers,trainers
長靴	ながぐつ	rubber rain boots	雨靴,あまぐつ	2		はきもの	rubber rain boots,rain boots,rubber boots,wellies,rainboots
サンダル	さんだる	sandal	ビーチサンダル,ビーサン	2		はきもの	sandal,sandals,flip flops
# 下駄	げた	geta wooden sandals	geta	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# スリッパ	すりっぱ	slippers	slipper	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が複数
# ジャケット	じゃけっと	leather jacket	jacket	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が布
# コート	こーと	winter coat	coat	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が布
# パーカー	ぱーかー	hoodie	hooded sweatshirt	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が布
# セーター	せーたー	knitted sweater	sweater,jumper	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が布
# ズボン	ずぼん	pair of jeans	jeans,pants,trousers,ジーンズ,ジーパン	3	# 落とした: 生成テスト 60³(2026-09-21): 0 個
# スカート	すかーと	skirt		3	# 落とした: 生成テスト 60³(2026-09-21): 絵が布
# 浴衣	ゆかた	yukata	ゆかた	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が布
# エプロン	えぷろん	apron		3	# 落とした: 生成テスト 60³(2026-09-21): 絵が布
# 制服	せいふく	school uniform	uniform,セーラー服	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# レインコート	れいんこーと	raincoat	rain coat	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が布
# 水着	みずぎ	swimsuit	swimwear,bikini	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が人
# おむつ	おむつ	diaper	nappy	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が布
# ベルト	べると	leather belt	belt	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# 財布	さいふ	leather wallet	wallet,purse,ウォレット	2	# 落とした: 生成テスト 60³(2026-09-21): 0 個
がま口	がまぐち	coin purse	財布,さいふ,小銭入れ	3		持ち歩くもの	coin purse,purse,wallet
ボストンバッグ	ぼすとんばっぐ	duffel bag	バッグ	2		持ち歩くもの	duffel bag,duffle bag,boston bag,bag
# トートバッグ	とーとばっぐ	tote bag	tote	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
巾着	きんちゃく	drawstring pouch	巾着袋,袋,ふくろ,ポーチ	3		持ち歩くもの	drawstring pouch,drawstring bag,pouch,kinchaku
# 封筒	ふうとう	envelope		2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# 手紙	てがみ	letter	レター	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が文字
# 新聞	しんぶん	newspaper		3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 雑誌	ざっし	magazine		3	# 落とした: 生成テスト 60³(2026-09-21): 0 個
# 黒板	こくばん	blackboard	chalkboard,chalk board	2	# 落とした: 生成テスト 60³(2026-09-21): 0 個
# ホワイトボード	ほわいとぼーど	whiteboard		3	# 落とした: 生成テスト 60³(2026-09-21): 0 個
# 机	つくえ	school desk	desk,デスク,学習机,教卓,勉強机	2		家具		# まとめた: テーブル と同じ物（spec 12 の 2-5）
# 筆箱	ふでばこ	pencil case	pencil box	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 鉛筆	えんぴつ	pencil		2	# 落とした: 生成テスト 60³(2026-09-21): 絵が複数
# クレヨン	くれよん	box of crayons	crayons,crayon	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# 消しゴム	けしごむ	eraser	rubber	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が複数
# 絵の具	えのぐ	paint tubes	paint,水彩絵の具	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
絵筆	えふで	paintbrush	筆,ふで,ブラシ	2		文房具	paintbrush,brush
# パレット	ぱれっと	painter palette	palette	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# 定規	じょうぎ	ruler		3	# 落とした: 生成テスト 60³(2026-09-21): 0 個
# ホッチキス	ほっちきす	stapler	staple	2	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
セロテープ	せろてーぷ	tape dispenser	テープ,セロハンテープ	3		文房具	tape dispenser,tape,scotch tape
# 虫眼鏡	むしめがね	magnifying glass	magnifier,ルーペ	2	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
# 電卓	でんたく	calculator		2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# そろばん	そろばん	abacus	soroban	2	# 落とした: 生成テスト(2026-09-21): 言い回しを変えた新しい行に置き換え
# スマホ	すまほ	smartphone	smart phone,スマートフォン,iphone,携帯,けいたい	1	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# タブレット	たぶれっと	tablet computer	tablet,ipad	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# ゲーム機	げーむき	game console	console,プレステ,switch,スイッチ	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
ゲームコントローラー	げーむこんとろーらー	game controller	コントローラー,コントローラ,ゲームパッド	2		通信・音楽の機械	game controller,controller,gamepad
# キーボード	きーぼーど	computer keyboard	keyboard	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# モニター	もにたー	computer monitor	monitor,display,ディスプレイ	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
プリンター	ぷりんたー	printer	印刷機	2		家電	printer
# ルーター	るーたー	wifi router	router	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# USBメモリ	ゆーえすびーめもり	usb flash drive	usb,flash drive,USB	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 電池	でんち	AA battery	battery,batteries,乾電池,かんでんち	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# リモコン	りもこん	remote control	remote,リモート	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
スピーカー	すぴーかー	loudspeaker		2		通信・音楽の機械	loudspeaker,speaker
ラジオ	らじお	vintage radio		2		通信・音楽の機械	vintage radio,radio
# レコードプレーヤー	れこーどぷれーやー	record player	turntable,ターンテーブル,蓄音機	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# レコード	れこーど	vinyl record	record,LP,レコード盤	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# カセットテープ	かせっとてーぷ	cassette tape	cassette,テープ	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# CD	しーでぃー	compact disc	cd,disc,ディスク	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# ビデオカメラ	びでおかめら	camcorder	video camera	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# プロジェクター	ぷろじぇくたー	projector		3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
電気シェーバー	でんきしぇーばー	electric shaver	かみそり,シェーバー,ひげそり,髭剃り	3		家電	electric shaver,shaver,razor
# 体重計	たいじゅうけい	bathroom scale	scale,はかり	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# 温度計	おんどけい	thermometer		3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# 血圧計	けつあつけい	blood pressure monitor		3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# 聴診器	ちょうしんき	stethoscope		2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# 注射器	ちゅうしゃき	syringe	注射	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
薬瓶	くすりびん	pill bottle	薬,くすり,錠剤	2		入れ物	pill bottle,medicine bottle,medicine
# カプセル	かぷせる	medicine capsule	capsule,pill	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# 松葉杖	まつばづえ	crutches	crutch	3	# 落とした: 生成テスト 60³(2026-09-21): 細い
ベビーベッド	べびーべっど	baby crib	ゆりかご	2		赤ちゃんのもの	baby crib,crib,cot
哺乳瓶	ほにゅうびん	baby bottle		2		赤ちゃんのもの	baby bottle,feeding bottle
# おしゃぶり	おしゃぶり	pacifier	dummy	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
ガラガラ	がらがら	baby rattle		3		赤ちゃんのもの	baby rattle,rattle
ロッキングホース	ろっきんぐほーす	rocking horse	木馬,もくば,揺れる木馬	2		赤ちゃんのもの	rocking horse
ドールハウス	どーるはうす	dollhouse	人形の家,ミニチュアハウス	2		おもちゃ	dollhouse,doll house
# おもちゃ箱	おもちゃばこ	toy box	toy chest	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# シャボン玉	しゃぼんだま	bubble wand	bubble wand	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
水鉄砲	みずでっぽう	water gun	鉄砲,てっぽう	2		おもちゃ	water gun,water pistol
# ビー玉	びーだま	glass marbles	marbles,marble	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# おはじき	おはじき	ohajiki		3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# 折り紙	おりがみ	origami paper	origami	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# 羽子板	はごいた	hagoita paddle	hagoita	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# 扇子	せんす	folding fan	fan,hand fan,うちわ	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# 和傘	わがさ	japanese paper umbrella	wagasa,paper umbrella,番傘	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# 日本刀	にほんとう	katana sword	katana,sword,刀,剣	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# 弓矢	ゆみや	bow and arrow	bow,弓	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# 槍	やり	spear		3	# 落とした: 生成テスト 60³(2026-09-21): 細い
ドライバー	どらいばー	screwdriver	ねじ回し	2		工具	screwdriver
# ペンチ	ぺんち	pliers		3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ネジ	ねじ	screw	screws	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# くぎ	くぎ	nail	nails,釘	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# 釘抜き	くぎぬき	crowbar	bar,バール	3	# 落とした: 生成テスト 60³(2026-09-21): 細い
ゴーグル	ごーぐる	swim goggles	水中メガネ,水中眼鏡	3		身につけるもの	swim goggles,goggles
双眼鏡	そうがんきょう	binoculars	望遠鏡	2		見る・調べる道具	binoculars
コンパス	こんぱす	compass	方位磁針,方位磁石,磁石	2		見る・調べる道具	compass
# 気圧計	きあつけい	barometer		3	# 落とした: 生成テスト 60³(2026-09-21): 方位磁針と紛らわしい
マッチ	まっち	matchbox	マッチ箱	3		火・明かり	matchbox,match,matches
ライター	らいたー	lighter	ジッポ	3		火・明かり	lighter
灰皿	はいざら	ashtray		3		身の回りのもの	ashtray
# 熊手	くまで	rake		3	# 落とした: 生成テスト 60³(2026-09-21): 細い
# ホース	ほーす	garden hose	hose	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# バードバス	ばーどばす	bird bath	birdbath	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 石像	せきぞう	stone statue	statue,像	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が風景
ガソリンポンプ	がそりんぽんぷ	gas pump	給油機,ガソリンスタンド	2		街の機械	gas pump,petrol pump,fuel pump
公衆電話	こうしゅうでんわ	payphone	緑の電話,でんわ	2		通信・音楽の機械	payphone,pay phone,public phone
ドラム缶	どらむかん	oil drum barrel	缶,樽	2		入れ物	oil drum barrel,oil drum
# ワイン樽	わいんだる	wine barrel	cask	1		箱・入れ物		# まとめた: 樽 と同じ物（spec 12 の 2-5）
# 木箱	きばこ	wooden crate	crate,箱	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
棺	ひつぎ	coffin	棺桶,かんおけ	2		入れ物	coffin,casket
# エアコン	えあこん	air conditioner	aircon,クーラー,cooler	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
ストーブ	すとーぶ	kerosene heater	石油ストーブ,暖房,だんぼう,ヒーター	2		家電	kerosene heater,heater,stove
# 加湿器	かしつき	humidifier		3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
空気清浄機	くうきせいじょうき	air purifier	清浄機,加湿器	3		家電	air purifier
# モップ	もっぷ	mop		3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# はたき	はたき	feather duster	duster	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# ちりとり	ちりとり	dustpan	dust pan	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# 物干し	ものほし	clothesline with clothes	clothesline	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
