# 食べ物（food）。列: ja	reading	en	aliases	level	seed	hint（ジャンル。10 秒のヒント）	english（英語の答え。必須。en は裏プロンプトで答えには使わない）
# ポテトチップス	ぽてとちっぷす	bag of potato chips	potato chips,chips,ポテチ,ポテトチップ	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
コーラ	こーら	can of cola	コーク,コカコーラ,ジュース	1		飲み物	cola,coke
ジュース	じゅーす	glass of orange juice	オレンジジュース	1		飲み物	juice,orange juice
# 紅茶	こうちゃ	cup of black tea	tea,black tea,ティー,お茶,おちゃ	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 抹茶	まっちゃ	bowl of matcha green tea	matcha,green tea,緑茶,りょくちゃ	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
シャンパン	しゃんぱん	champagne bottle	シャンペン	2		飲み物	champagne,sparkling wine
# カクテル	かくてる	cocktail glass	cocktail	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
タピオカ	たぴおか	bubble tea	タピオカミルクティー,ミルクティー	2		飲み物	bubble tea,boba,tapioca
ココア	ここあ	mug of hot cocoa	ホットチョコレート,ホットココア	2		飲み物	cocoa,hot chocolate,hot cocoa
ジンジャーブレッドマン	じんじゃーぶれっどまん	gingerbread man	人型クッキー,クッキー	2		焼き菓子	gingerbread man,gingerbread
# トルティーヤ	とるてぃーや	tortilla		3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
ハム	はむ	whole ham	豚肉	2		メインのおかず	ham
# ベーコン	べーこん	bacon strips	bacon	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
サラミ	さらみ	salami	ソーセージ	2		メインのおかず	salami
バター	ばたー	stick of butter		2		パンに塗るもの	butter
# 食パン一斤	しょくぱんいっきん	loaf of sliced bread	sliced bread,toast,トースト	2		パン		# まとめた: 食パン と同じ物（spec 12 の 2-5）
# --- 2026-09-21 追加（1,000 語へ。体積があり輪郭で分かる物に寄せた）
すもも	すもも	whole red plum	プラム,李,スモモ	2		果物	plum
あんず	あんず	whole apricot	アプリコット,杏,アンズ	3		果物	apricot
ゆず	ゆず	whole yuzu citrus	柚子,ユズ	2		柑橘	yuzu
# きんかん	きんかん	kumquat fruits on a branch	kumquat,金柑,キンカン	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
びわ	びわ	whole loquat fruits	枇杷,ビワ	3		果物	loquat
# かりん	かりん	whole quince fruit	花梨,カリン	3		果物	quince	# 2026-09-21 誰でも知っているものだけにする（本人）
# クランベリー	くらんべりー	bowl of cranberries	cranberry,cranberries	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
ひょうたん	ひょうたん	gourd bottle	瓢箪,ヒョウタン	2		野菜	gourd,calabash
# とうがん	とうがん	whole winter melon	冬瓜,トウガン	3		野菜	winter melon,wax gourd	# 2026-09-21 誰でも知っているものだけにする（本人）
# ヘチマ	へちま	loofah gourd	糸瓜	3		野菜	loofah gourd,loofah,luffa	# 2026-09-21 誰でも知っているものだけにする（本人）
里芋	さといも	taro root	サトイモ,さといも	3		土の中で育つ野菜	taro root,taro
# 長ネギ	ながねぎ	bunch of green onions	leek,green onion,ネギ,ねぎ,葱,長ねぎ	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# ミニトマト	みにとまと	vine of cherry tomatoes	cherry tomato,プチトマト,ぷちとまと	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
パプリカ	ぱぷりか	whole red paprika bell pepper	赤ピーマン,ピーマン	2		野菜	paprika
# ほうれん草	ほうれんそう	bunch of spinach	spinach,ホウレンソウ,ほうれんそう	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# もやし	もやし	pile of bean sprouts	bean sprouts,モヤシ	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
豆腐	とうふ	block of tofu on a plate	トーフ	2		和食のおかず	tofu
# 納豆	なっとう	natto in a styrofoam pack	natto,ナットウ	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
# 梅干し	うめぼし	umeboshi pickled plum in a small dish	umeboshi,梅干,うめぼし	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
たくあん	たくあん	takuan yellow pickled radish	沢庵,タクアン,たくわん	3		和食のおかず	takuan,pickled radish
# 海苔	のり	sheets of nori seaweed	nori,ノリ,焼き海苔	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
かまぼこ	かまぼこ	kamaboko fish cake on a board	蒲鉾,カマボコ	2		和食のおかず	kamaboko
ちくわ	ちくわ	chikuwa fish cake tube	竹輪,チクワ	2		和食のおかず	chikuwa
はんぺん	はんぺん	hanpen white fish cake	ハンペン	3		和食のおかず	hanpen
# ちらし寿司	ちらしずし	chirashi sushi bowl	chirashi,ちらし	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
# 串カツ	くしかつ	kushikatsu skewers	kushikatsu,クシカツ	3	# 落とした: 生成テスト 60³(2026-09-21): 細い
# もつ鍋	もつなべ	hot pot on a burner	hot pot,nabe,鍋料理,なべ,モツ鍋	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
# すき焼き	すきやき	sukiyaki in an iron pot	sukiyaki,スキヤキ	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
# しゃぶしゃぶ	しゃぶしゃぶ	shabu shabu pot	shabu-shabu,shabu shabu	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
# 焼肉	やきにく	yakiniku grill with meat	yakiniku,焼き肉,バーベキュー,BBQ,ヤキニク	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
お雑煮	おぞうに	ozoni soup bowl	雑煮,ぞうに	3		主食になる料理	ozoni,zoni
# おせち	おせち	osechi box	osechi,おせち料理,オセチ	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
ちまき	ちまき	zongzi rice dumpling	粽,チマキ	3		和菓子	zongzi rice dumpling,zongzi,chimaki
月見団子	つきみだんご	pyramid of tsukimi dango	つきみだんご	3		和菓子	tsukimi dango
りんご飴	りんごあめ	candy apple on a stick	リンゴ飴	2		お祭り・屋台の食べ物	candy apple,candied apple,candyapple
# チョコバナナ	ちょこばなな	chocolate covered banana on a stick	chocobanana,choco banana,チョコばなな	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
ラムネ	らむね	ramune soda bottle	ラムネ瓶,サイダー	2		飲み物	ramune
# ビール缶	びーるかん	can of beer	beer can,缶ビール,かんびーる	2		飲み物		# まとめた: ビール と同じ物（spec 12 の 2-5）
# 牛乳瓶	ぎゅうにゅうびん	glass milk bottle	milk bottle,ぎゅうにゅうびん	2		飲み物		# まとめた: 牛乳 と同じ物（spec 12 の 2-5）
# コーヒー豆	こーひーまめ	sack of coffee beans	coffee beans,コーヒーまめ	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
# 砂糖	さとう	sugar cubes in a bowl	sugar,sugar cube,角砂糖,かくざとう	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
# 塩	しお	salt shaker	salt,ソルト	3	# 落とした: 生成テスト 60³(2026-09-21): 平たい
# 胡椒	こしょう	pepper mill	pepper,pepper grinder,コショウ,こしょう,ペッパー	3	# 落とした: 生成テスト 60³(2026-09-21): 細い
醤油	しょうゆ	soy sauce bottle	しょうゆ,ショウユ,醬油,しょう油,キッコーマン	2		調味料	soy sauce,kikkoman
マヨネーズ	まよねーず	mayonnaise bottle	マヨ,キューピー	2		調味料	mayonnaise,mayo
マスタード	ますたーど	mustard bottle	からし,カラシ	3		調味料	mustard
ジャム	じゃむ	jar of strawberry jam	いちごジャム	2		パンに塗るもの	jam,jelly jar
ピーナッツバター	ぴーなっつばたー	jar of peanut butter		3		パンに塗るもの	peanut butter
オリーブオイル	おりーぶおいる	olive oil bottle	油,あぶら	3		調味料	olive oil,oil
# シリアル	しりある	bowl of cereal with milk	cereal,コーンフレーク,こーんふれーく	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
# オートミール	おーとみーる	bowl of oatmeal	oatmeal,porridge	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
# ナッツ	なっつ	bowl of mixed nuts	nuts,mixed nuts,ミックスナッツ	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
# ピザ一切れ	ぴざひときれ	slice of pizza	pizza slice	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# ホールケーキ	ほーるけーき	whole round birthday cake with candles	birthday cake,バースデーケーキ,誕生日ケーキ,たんじょうびけーき	1		ケーキ		# まとめた: ケーキ と同じ物（spec 12 の 2-5）
ロールケーキ	ろーるけーき	swiss roll cake		2		スイーツ	swiss roll cake,roll cake,swiss roll
パウンドケーキ	ぱうんどけーき	pound cake loaf		3		スイーツ	pound cake
# チョコレートケーキ	ちょこれーとけーき	whole chocolate cake	chocolate cake,チョコケーキ	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# アイスバー	あいすばー	ice cream bar on a stick	popsicle,ice pop,アイスキャンディー,あいすきゃんでぃー,棒アイス	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
アイスサンド	あいすさんど	ice cream sandwich	アイスクリームサンド	3		冷たいデザート	ice cream sandwich
# サンデー	さんでー	ice cream sundae in a glass	アイスサンデー,パフェ,アイス,あいす	2		冷たいデザート	sundae,ice cream sundae,parfait	# 2026-09-21 甘さの見直し: 「パフェ」に統合（spec 12 の 2-5）
ミルクセーキ	みるくせーき	milkshake in a glass with straw	シェイク,しぇいく,ミルクシェイク	2		冷たいデザート	milkshake,shake
スムージー	すむーじー	smoothie in a glass		3		冷たいデザート	smoothie
ゼリービーンズ	ぜりーびーんず	jar of jelly beans	グミ	3		お菓子	jelly beans,jellybeans
# 金平糖	こんぺいとう	konpeito sugar candies	konpeito,こんぺいとう,コンペイトウ	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
ジンジャーブレッドハウス	じんじゃーぶれっどはうす	gingerbread house	お菓子の家,おかしのいえ,クッキーの家	2		焼き菓子	gingerbread house
# クリスマスケーキ	くりすますけーき	christmas cake with strawberries	christmas cake,xmas cake	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# ブッシュドノエル	ぶっしゅどのえる	buche de noel log cake	buche de noel,yule log,ブッシュ・ド・ノエル	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# シュトーレン	しゅとーれん	stollen bread		3		洋菓子	stollen bread,stollen	# 2026-09-21 誰でも知っているものだけにする（本人）
# パネトーネ	ぱねとーね	panettone	パン	3		洋菓子	panettone	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
ロールパン	ろーるぱん	bread roll	バターロール	2		ベーカリー	bread roll,roll,dinner roll
あんパン	あんぱん	anpan sweet bean bun	あんぱん,アンパン	2		ベーカリー	anpan,red bean bun
クリームパン	くりーむぱん	cream bun		3		ベーカリー	cream bun,cream bread,cream pan
# 天丼	てんどん	tendon tempura rice bowl	tendon,てんどん	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
# うな重	うなじゅう	unaju eel rice box	unaju,unadon,うな丼	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# シュウマイ	しゅうまい	shumai dumplings in a bamboo steamer	shumai,焼売,しゅうまい	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 月餅	げっぺい	mooncake	げっぺい	3		和菓子	mooncake,moon cake	# 2026-09-21 誰でも知っているものだけにする（本人）
# ビビンバ	びびんば	bibimbap in a stone bowl	bibimbap,ビビンパ	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
# キムチ	きむち	kimchi in a bowl	kimchi	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
トッポギ	とっぽぎ	tteokbokki rice cakes	トッポッキ,トッポキ	3		世界の料理	tteokbokki rice cakes,tteokbokki
チヂミ	ちぢみ	korean pancake	チジミ	3		世界の料理	korean pancake,pajeon,jeon
# フォー	ふぉー	bowl of pho noodle soup	ベトナムの麺	3		世界の料理	pho	# 2026-09-21 誰でも知っているものだけにする（本人）
# パッタイ	ぱったい	pad thai noodles	焼きそば	3		世界の料理	pad thai noodles,pad thai	# 2026-09-21 誰でも知っているものだけにする（本人）
# グリーンカレー	ぐりーんかれー	green curry bowl	タイカレー	3		世界の料理	green curry	# 2026-09-21 誰でも知っているものだけにする（本人）
ナン	なん	naan bread	ナーン	2		ベーカリー	naan bread,naan
タンドリーチキン	たんどりーちきん	tandoori chicken		3		メインのおかず	tandoori chicken,tandoori
# サモサ	さもさ	samosa		3		世界の料理	samosa,samosas	# 2026-09-21 誰でも知っているものだけにする（本人）
# ピタパン	ぴたぱん	pita bread	pita,ピタ,ぴた	3	# 落とした: ローマ字でピーターパンと衝突
# チーズバーガー	ちーずばーがー	cheeseburger	cheese burger	1		ファストフード		# まとめた: ハンバーガー と同じ物（spec 12 の 2-5）
# チキンナゲット	ちきんなげっと	chicken nuggets in a box	ナゲット,なげっと	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
オニオンリング	おにおんりんぐ	onion rings		3		ファストフード	onion rings,onion ring
# コーンドッグ	こーんどっぐ	corn dog on a stick	corn dog,アメリカンドッグ,あめりかんどっぐ	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
クラブサンド	くらぶさんど	club sandwich	BLTサンド	2		ファストフード	club sandwich,blt
# ミートローフ	みーとろーふ	meatloaf		3		肉料理	meatloaf,meat loaf	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# マッシュポテト	まっしゅぽてと	mashed potatoes	mashed potato	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
# ハッシュブラウン	はっしゅぶらうん	hash browns	ハッシュドポテト	3		ファストフード	hash browns,hash brown	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# ムール貝	むーるがい	mussels in a pot	mussels,ムール	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
イカリング	いかりんぐ	calamari rings	イカ,いか	3		魚介の料理	calamari rings,calamari,squid rings
ツナ缶	つなかん	can of tuna	缶詰,かんづめ,シーチキン,ツナ	3		魚介の料理	canned tuna,tuna can
# 焼きイカ	やきいか	grilled squid on a stick	ikayaki,イカ焼き,いかやき	3	# 落とした: 生成テスト 60³(2026-09-21): 細い
焼きとうもろこし	やきとうもろこし	grilled corn on the cob	焼きトウモロコシ	2		お祭り・屋台の食べ物	grilled corn,corn on the cob
じゃがバター	じゃがばたー	baked potato with butter	ベイクドポテト	3		お祭り・屋台の食べ物	baked potato,jaga butter
# ベビーカステラ	べびーかすてら	baby castella balls in a bag	baby castella	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# もなか	もなか	monaka wafer sweet	monaka	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# 八つ橋	やつはし	yatsuhashi cinnamon sweet	yatsuhashi	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
おはぎ	おはぎ	ohagi rice ball with red bean	ぼたもち,牡丹餅	3		和菓子	ohagi,botamochi
# わらび餅	わらびもち	warabi mochi with kinako	warabi mochi	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が複数
# 白玉	しらたま	shiratama dumplings	shiratama	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# ぜんざい	ぜんざい	zenzai red bean soup with mochi	zenzai	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
あんみつ	あんみつ	anmitsu dessert		3		和菓子	anmitsu dessert,anmitsu
# みたらし団子	みたらしだんご	mitarashi dango on a skewer	mitarashi	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# 三色団子	さんしょくだんご	three color dango	sanshoku dango,hanami dango	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が複数
きびだんご	きびだんご	kibi dango		3		和菓子	kibi dango,millet dumpling,kibidango
# すあま	すあま	suama pink rice cake	寿甘	3		和菓子	suama	# 2026-09-21 誰でも知っているものだけにする（本人）
# 落雁	らくがん	rakugan sugar sweets		3		和菓子	rakugan sugar sweets,rakugan	# 2026-09-21 誰でも知っているものだけにする（本人）
# 金太郎飴	きんたろうあめ	kintaro candy stick	kintaro ame	3	# 落とした: 生成テスト 60³(2026-09-21): 細い
# 千歳飴	ちとせあめ	chitose ame candy bag	chitose ame	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# べっこう飴	べっこうあめ	bekko ame candy		3		お菓子	bekko ame candy,bekko ame	# 2026-09-21 誰でも知っているものだけにする（本人）
# ポン菓子	ぽんがし	puffed rice snack	pon gashi	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 人形焼き	にんぎょうやき	ningyo yaki doll cake	人形焼	3		和菓子	ningyoyaki,ningyo yaki	# 2026-09-21 誰でも知っているものだけにする（本人）
シフォンケーキ	しふぉんけーき	chiffon cake		3		スイーツ	chiffon cake,chiffon
プリンアラモード	ぷりんあらもーど	pudding a la mode	プリン,ぷりん	3		冷たいデザート	pudding a la mode,pudding,purin,purin a la mode
クリームソーダ	くりーむそーだ	cream soda float with ice cream	メロンソーダ,ソーダ	2		冷たいデザート	cream soda,melon soda,float
# フレンチクルーラー	ふれんちくるーらー	french cruller donut	cruller	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
ポンデリング	ぽんでりんぐ	pon de ring donut	ミスド,ドーナツ,どーなつ	3		焼き菓子	pon de ring
# カヌレ	かぬれ	canele pastry		3		洋菓子	canele pastry,canele	# 2026-09-21 誰でも知っているものだけにする（本人）
# フィナンシェ	ふぃなんしぇ	financier cake		3		洋菓子	financier cake,financier	# 2026-09-21 誰でも知っているものだけにする（本人）
マドレーヌ	まどれーぬ	madeleine cake		3		焼き菓子	madeleine cake,madeleine
# ビスケット	びすけっと	biscuit	biscuits	3		洋菓子		# まとめた: クッキー と同じ物（spec 12 の 2-5）
# クラッカー	くらっかー	crackers	cracker	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
ラスク	らすく	rusk		3		焼き菓子	rusk,rusks
# 刺身	さしみ	sashimi platter	sashimi	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
# 煮魚	にざかな	simmered fish	nizakana	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
メンチカツ	めんちかつ	menchi katsu	ミンチカツ	3		メインのおかず	menchi katsu,minced meat cutlet,menchikatsu
かき揚げ	かきあげ	kakiage tempura	天ぷら,てんぷら	3		和食のおかず	kakiage tempura,kakiage,tempura
# 串揚げ	くしあげ	kushiage skewers	kushiage	3	# 落とした: 生成テスト 60³(2026-09-21): 細い
